"X","name","result.category","result.published_year"
1218,"Lophophanes dichrous","LC",2016
1219,"Lophophorus impejanus","LC",2016
1220,"Lophophorus lhuysii","VU",2016
1221,"Lophophorus sclateri","VU",2016
1222,"Lophotriorchis kienerii","NT",2020
1223,"Lophura leucomelanos","LC",2016
1224,"Lophura nycthemera","LC",2016
1225,"Lophura swinhoii","NT",2019
1226,"Loriculus vernalis","LC",2016
1227,"Loxia curvirostra","LC",2017
1228,"Loxia leucoptera","LC",2017
1229,"Luscinia megarhynchos","LC",2017
1230,"Lutra lutra","NT",2021
1231,"Lutrogale perspicillata","VU",2021
1232,"Lycodon capucinus","LC",2012
1233,"Lycodon davisonii","LC",2012
1234,"Lycodon flavozonatus","LC",2012
1235,"Lycodon futsingensis","LC",2012
1236,"Lycodon gongshan","DD",2012
1237,"Lycodon laoensis","LC",2012
