Family,Species,Species_origin,Sample_Male_Famle,Male_size_mm,Female_size_mm,Male_mass_g,Female_mass_g,Clutch_size,References
Scincidae,Scincella tsinlingensis,Scincella tsinlingensis,"8+,9+",49.75,59.42,2.238721,3.981072,18,"Xing & Chen 1984, Fan et al. 1997, Zhao et al. 1999, Zhao 2003, Yao & Gong 2012"
Scincidae,Sphenomorphus incognitus,Sphenomorphus incognitus,"170+,90+",80.08,74,10.47129,8.128305,4,"Shen et al. 2014, Shi et al. 2011, Ma et al. 2018"
Scincidae,Sphenomorphus indicus,Sphenomorphus indicus,"20+,17+",73.75,77.51,8.128305,9.549926,9,"Zhao et al. 1999,Zhao 2003, Yang & Rao 2008, Li et al. 2011, Shi et al. 2011, Shen et al. 2014"
Scincidae,Sphenomorphus maculatus,Sphenomorphus maculatus,"2,10",53,59.1,2.754229,3.981072,6,"Zhao et al. 1999, Yang & Rao 2008"
Scincidae,Sphenomorphus taiwanensis,Sphenomorphus taiwanensis,"20,20",52.8,53.8,2.754229,2.884032,NA,Zhao et al. 1999
Scincidae,Sphenomorphus tonkinensis,Sphenomorphus tonkinensis,"6,3",42.3,40,1.348963,1.122018,NA,Nguyen et al. 2011
Scincidae,Tropidophorus berdmorei,Tropidophorus berdmorei,NA,97,107.5,19.49845,26.91535,7,Yang & Rao 2008
Scincidae,Tropidophorus guangxiensis,Tropidophorus guangxiensis,"3,3",59.87,65.47,4.073803,5.495409,5.3,"Guo et al. 2010, Shen et al. 2014"
Scincidae,Tropidophorus hainanus,Tropidophorus hainanus,"13,6",43.42,50.63,1.44544,2.398833,NA,"Shi et al. 2011, Shen et al. 2014"
Scincidae,Tropidophorus sinicus,Tropidophorus sinicus,"1,4",71,62.35,7.079458,4.677351,4.5,Zhao et al. 1999
Shinisauridae,Shinisaurus crocodilurus,Shinisaurus crocodilurus,"75,52",153.17,134.11,64.56542,42.65795,NA,"Zhao et al. 1999, He et al. 2011"
Sphaerodactylidae,Teratoscincus przewalskii,Teratoscincus przewalskii,"38,26",75.8,75,10.47129,10.23293,NA,Liao et al. 2013
Sphaerodactylidae,Teratoscincus roborowskii,Teratoscincus roborowskii,"35,34",82.14,81.54,13.48963,13.18257,NA,Liu 2010
