iucn_2021_binomial,Species,China_Red_List,IUCN_Red_List,Body_size_mm,Clutch_size_n,Trophic_level,Habitat_specificity,Geographic_range_size_km2,Dispersal_ratio_dp,Nest_type,Nest_site,Flocking_tendency,Migrant_status,Hunting_vulnerability
Treron_pompadora,Treron_pompadora,1,0,169.15,1,3,1,39,16.62,1,3,0,2,0
Treron_curvirostra,Treron_curvirostra,1,0,150.15,1,3,1,66.31,15.92,1,3,0,2,0
Treron_phoenicopterus,Treron_phoenicopterus,1,0,301.15,1,3,1,39,18.67,1,1,0,1,0
Treron_apicauda,Treron_apicauda,1,0,361.75,1,3,1,87.6,17.32,1,1,0,2,0
Treron_sphenurus,Treron_sphenurus,1,0,311,1,3,1,116.21,31.15,1,1,0,1,0
Treron_sieboldii,Treron_sieboldii,0,0,189.75,1,3,1,167.75,18.08,1,1,0,1,1
Treron_formosae,Treron_formosae,1,1,315,1,3,1,3.61,30.33,1,1,0,0,0
Ramphiculus_leclancheri,Ptilinopus_leclancheri,0,0,175,1,3,1,3.61,18.81,1,5,1,1,0
Ducula_aenea,Ducula_aenea,3,0,395,1.5,3,1,60.51,18.7,1,1,0,1,2
Ducula_badia,Ducula_badia,1,0,215,1,3,1,161.76,19.01,1,1,0,0,1
Psittinus_cyanurus,Psittinus_cyanurus,1,1,190,2,1,3,39,19.57,0,1,0,0,2
Psittacula_derbiana,Psittacula_derbiana,1,1,238.75,2.5,3,1,131.29,33.16,0,1,0,0,2
Psittacula_alexandri,Psittacula_alexandri,1,1,195.75,3.5,1,1,186.23,30.19,0,1,0,1,2
Clamator_jacobinus,Clamator_jacobinus,0,0,330,1,5,1,110.11,36.57,1,2,1,0,0
Clamator_coromandus,Clamator_coromandus,0,0,385,1,5,2,370.18,32.31,1,2,0,1,1
Hierococcyx_sparverioides,Cuculus_sparverioides,0,0,382,1.5,5,3,615.82,23.69,1,2,0,1,0
Hierococcyx_varius,Cuculus_varius,0,0,320,1,5,1,110.11,29.17,1,2,0,0,0
Hierococcyx_nisicolor,Hierococcyx_nisicolor,0,0,315,1,5,1,121.86,21.11,1,2,0,1,0
Hierococcyx_hyperythrus,Hierococcyx_hyperythrus,0,0,190,1,5,3,175.62,20.13,1,2,0,0,0
Cuculus_micropterus,Cuculus_micropterus,0,0,319.15,1,5,3,606.69,20.21,1,2,0,0,0
Cuculus_canorus,Cuculus_canorus,0,0,310.15,1,5,2,961.27,23.16,1,2,0,0,0
Cuculus_saturatus,Cuculus_saturatus,0,0,197,1,5,1,165.07,21.5,1,2,0,2,0
Cuculus_optatus,Cuculus_optatus,0,0,310,1,5,3,527.62,23.15,1,2,0,0,0
Cuculus_poliocephalus,Cuculus_poliocephalus,0,0,158.15,1,5,2,710.17,21.33,1,2,0,1,0
Cacomantis_sonneratii,Cacomantis_sonneratii,0,0,126,1,5,1,111.17,20.5,1,2,0,0,0
Cacomantis_merulinus,Cacomantis_merulinus,0,0,113.75,1,5,2,335.17,36.03,1,2,0,0,0
Chrysococcyx_maculatus,Chrysococcyx_maculatus,1,0,166.5,1,5,1,198.21,32.56,1,2,0,0,0
Chrysococcyx_xanthorhynchus,Chrysococcyx_xanthorhynchus,1,0,177,1,5,1,39,35.27,1,2,0,0,0
Surniculus_dicruroides,Surniculus_dicruroides,0,0,153.75,1,5,5,330.66,20.13,1,2,0,1,0
Eudynamys_scolopaceus,Eudynamys_scolopaceus,0,0,201.75,1,1,1,162.99,32.01,1,2,0,0,0
Phaenicophaeus_tristis,Phaenicophaeus_tristis,0,0,297.15,3,5,2,102.2,19.77,1,3,0,0,1
Centropus_sinensis,Centropus_sinensis,0,0,273.75,2,5,3,101.56,31.1,1,3,0,0,2
Centropus_bengalensis,Centropus_bengalensis,0,0,351.75,2,5,3,123.81,31.51,1,3,0,1,2
Tyto_alba,Tyto_alba,1,0,360,5.5,7,1,61.67,19.85,0,1,0,0,2
