Species,Adult_survival,Age_at_first_reproduction,Maximum_longevity
Falcipennis_falcipennis,0.62,1.03,14.63
Falcipennis_canadensis,0.7,1.16,15.81
Falcipennis_franklinii,0.47,1,13
Tetrao_urogallus,0.71,2,20.82
Tetrao_urogalloides,0.75,2.17,22.03
Lyrurus_tetrix,0.64,1.35,15.62
Lyrurus_mlokosiewiczi,0.71,1.49,15.58
Centrocercus_urophasianus,0.7,1.6,13.06
Centrocercus_minimus,0.79,1.65,12.99
Tympanuchus_phasianellus,0.39,0.95,11.82
Tympanuchus_cupido,0.46,1.06,12.11
Tympanuchus_pallidicinctus,0.47,1.07,9.58
Anhima_cornuta,0.84,2.71,23.4
Chauna_chavaria,0.83,2.35,22.65
Chauna_torquata,0.85,2.61,26.71
Anseranas_semipalmata,0.77,2.74,22.5
Dendrocygna_viduata,0.65,1.35,13.13
Dendrocygna_autumnalis,0.41,0.9,9.94
Dendrocygna_guttata,0.63,1.21,10.92
Dendrocygna_arborea,0.74,1.58,16.44
Dendrocygna_bicolor,0.55,1.13,11.58
Dendrocygna_eytoni,0.62,1.24,13.27
Dendrocygna_arcuata,0.66,1.31,13.77
Dendrocygna_javanica,0.68,1.3,13.65
Thalassornis_leuconotus,0.66,1.6,15.15
Heteronetta_atricapilla,0.8,2.24,20.33
Nomonyx_dominicus,0.69,1.71,15.23
Oxyura_jamaicensis,0.62,1.51,12.99
Oxyura_ferruginea,0.71,1,14.8
Oxyura_vittata,0.74,1.94,18.68
Oxyura_australis,0.72,1.8,17.67
Oxyura_maccoa,0.7,1.68,16.01
Oxyura_leucocephala,0.65,1.61,17.08
Biziura_lobata,0.9,2.71,24.03
Malacorhynchus_membranaceus,0.72,1.71,13.41
Stictonetta_naevosa,0.71,1.93,18.13
Cereopsis_novaehollandiae,0.85,2.98,28.87
Coscoroba_coscoroba,0.82,2.71,24.27
Cygnus_melancoryphus,0.82,2.64,23.46
Cygnus_atratus,0.9,3.32,26.04
Cygnus_olor,0.85,3.1,28.27
Cygnus_buccinator,0.85,3.12,29.33
Cygnus_cygnus,0.85,3.09,28.01
Cygnus_columbianus,0.85,2.98,27.65
Branta_bernicla,0.84,2.85,32.28
Branta_leucopsis,0.84,2.9,32.86
Branta_ruficollis,0.77,2.33,27.75
Branta_hutchinsii,0.79,2.7,30.33
Branta_canadensis,0.8,2.7,29.02
Branta_sandvicensis,0.84,2.85,26.11
Anser_canagicus,0.77,2.61,25.5
Anser_caerulescens,0.79,2.82,28
Anser_rossii,0.72,2.34,22.27
Anser_indicus,0.72,2.39,21.24
Anser_anser,0.74,2.59,23.87
Anser_cygnoid,0.78,2.77,25.76
Anser_fabalis,0.73,2.5,24.05
Anser_brachyrhynchus,0.81,2.94,28.72
Anser_albifrons,0.76,2.59,25.89
Anser_erythropus,0.71,2.29,22.51
Clangula_hyemalis,0.73,1.97,19.8
Somateria_fischeri,0.87,2.79,24.11
Somateria_spectabilis,0.87,2.81,24.73
Somateria_mollissima,0.87,2.83,24.5
Polysticta_stelleri,0.78,2.64,20.16
Melanitta_perspicillata,0.79,2.06,18.2
Melanitta_fusca,0.77,2.02,18.57
Melanitta_stejnegeri,0.78,2.1,17.21
Melanitta_deglandi,0.78,2.24,15.6
Melanitta_nigra,0.77,1.96,17.95
Melanitta_americana,0.77,2.24,16.75
Bucephala_albeola,0.64,2.32,16.39
Bucephala_clangula,0.65,2.54,18.4
Bucephala_islandica,0.65,2.54,18.27
Mergellus_albellus,0.68,1.91,13.12
Lophodytes_cucullatus,0.64,1.77,12.89
Mergus_merganser,0.6,1.96,17.74
Mergus_squamatus,0.53,1.73,15.08
Mergus_serrator,0.62,1.98,17.86
Mergus_australis,0.6,2,18.04
Mergus_octosetaceus,0.7,1.87,15.22
Histrionicus_histrionicus,0.78,1.99,18.66
Camptorhynchus_labradorius,0.71,1.9,20.34
Neochen_jubata,0.65,1.66,15.74
