taxa	binomial	name	count	result.accepted_id	result.authority	result.synonym	result.syn_authority
AVES_GALLIFORMES_PHASIANIDAE_Lagopus_muta	Lagopus muta	Lagopus muta	3	22679464	(Montin, 1776)	Lagopus_mutus	Cramp and Simmons (1977-1994)
AVES_GALLIFORMES_PHASIANIDAE_Lagopus_muta	Lagopus muta	Lagopus muta	3	22679464	(Montin, 1776)	Lagopus_mutus	Sibley and Monroe (1990, 1993)
AVES_PASSERIFORMES_CAMPEPHAGIDAE_Lalage_melaschistos	Lalage melaschistos	Lalage melaschistos	1	22706636	(Hodgson, 1836)	Coracina_melaschistos	(Hodgson, 1836)
AVES_PASSERIFORMES_LANIIDAE_Lanius_borealis	Lanius borealis	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LANIIDAE_Lanius_bucephalus	Lanius bucephalus	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LANIIDAE_Lanius_collurio	Lanius collurio	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LANIIDAE_Lanius_collurioides	Lanius collurioides	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LANIIDAE_Lanius_cristatus	Lanius cristatus	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LANIIDAE_Lanius_excubitor	Lanius excubitor	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LANIIDAE_Lanius_giganteus	Lanius giganteus	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LANIIDAE_Lanius_isabellinus	Lanius isabellinus	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LANIIDAE_Lanius_minor	Lanius minor	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LANIIDAE_Lanius_phoenicuroides	Lanius phoenicuroides	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LANIIDAE_Lanius_schach	Lanius schach	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LANIIDAE_Lanius_sphenocercus	Lanius sphenocercus	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LANIIDAE_Lanius_tephronotus	Lanius tephronotus	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LANIIDAE_Lanius_tigrinus	Lanius tigrinus	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_MUSCICAPIDAE_Larvivora_akahige	Larvivora akahige	NA	NA	NA	NA	NA	NA
