Species,Aquatic,Herbivorous,Nocturnal,Scansorial,Fossorial,Large,Terrestrial,Archetype,Archetype_without_mass,Archetype_without_activity
Amphisbaena slevini,0,0,0,0,1,0,0,Fossorial,Fossorial,Fossorial
Amphisbaena varia,0,0,0,0,0.746,0.254,0,Fossorial,Fossorial,Fossorial
Anadia bitaeniata,0.002,0,0.01,0.84,0,0.147,0,Scansorial,Scansorial,Scansorial
Anadia bogotensis,0,0,0,0,0,0.205,0.794,Terrestrial,Terrestrial,Terrestrial
Anadia brevifrontalis,0.003,0,0.013,0.801,0,0.183,0,Scansorial,Scansorial,Scansorial
Anadia escalerae,0,0,0,0,0,0.215,0.785,Terrestrial,Terrestrial,Terrestrial
Anadia marmorata,0.003,0,0.012,0.815,0,0.171,0,Scansorial,Scansorial,Scansorial
Anadia mcdiarmidi,0,0,0,0,0,0.196,0.804,Terrestrial,Terrestrial,Terrestrial
Anadia ocellata,0.001,0,0.007,0.893,0,0.098,0,Scansorial,Scansorial,Scansorial
Anadia pariaensis,0.002,0,0.01,0.842,0,0.145,0,Scansorial,Scansorial,Scansorial
Anadia pulchella,0.003,0,0.015,0.778,0,0.205,0,Scansorial,Scansorial,Scansorial
Anadia rhombifera,0.001,0,0.005,0.926,0,0.069,0,Scansorial,Scansorial,Scansorial
Anadia steyeri,0,0,0,0,0,0.271,0.729,Terrestrial,Terrestrial,Terrestrial
Anadia vittata,0.001,0,0.005,0.93,0,0.064,0,Scansorial,Scansorial,Scansorial
Anatololacerta anatolica,0.001,0,0.007,0.898,0,0.094,0,Scansorial,Scansorial,Scansorial
Anatololacerta budaki,0.001,0,0.004,0.935,0,0.06,0,Scansorial,Scansorial,Scansorial
Anatololacerta danfordi,0.001,0,0.007,0.898,0,0.094,0,Scansorial,Scansorial,Scansorial
Anatololacerta pelasgiana,0.001,0,0.005,0.93,0,0.064,0,Scansorial,Scansorial,Scansorial
Anepischetosia maccoyi,0,0,0.035,0,0.953,0.013,0,Fossorial,Fossorial,Fossorial
Anguis cephallonica,0,0,0,0,0,0.414,0.586,Terrestrial,Terrestrial,Terrestrial
Anguis colchica,0,0,0,0,0,0.418,0.582,Terrestrial,Terrestrial,Terrestrial
Anguis fragilis,0,0,0,0,0.73,0.27,0,Fossorial,Fossorial,Fossorial
Anguis graeca,0,0,0,0,0,0.352,0.648,Terrestrial,Terrestrial,Terrestrial
Anguis veronensis,0,0,0.432,0,0,0.233,0.335,Nocturnal,Nocturnal,Terrestrial
Anisolepis undulatus,0.002,0,0.011,0.829,0,0.158,0,Scansorial,Scansorial,Scansorial
Anniella geronimensis,0,0,0,0.012,0.868,0.12,0,Fossorial,Fossorial,Fossorial
Anniella pulchra,0,0,0,0,0.919,0.081,0,Fossorial,Fossorial,Fossorial
Anolis acutus,0.001,0,0.004,0.942,0,0.054,0,Scansorial,Scansorial,Scansorial
Anolis aeneus,0.002,0,0.007,0.891,0,0.1,0,Scansorial,Scansorial,Scansorial
Anolis aequatorialis,0.003,0,0.015,0.771,0,0.211,0,Scansorial,Scansorial,Scansorial
Anolis agassizi,0.003,0,0.014,0.785,0,0.198,0,Scansorial,Scansorial,Scansorial
Anolis agueroi,0,0.74,0,0,0,0.26,0,Herbivorous,Herbivorous,Herbivorous
Anolis aliniger,0,0,0.002,0.974,0,0.024,0,Scansorial,Scansorial,Scansorial
Anolis allisoni,0.002,0,0.012,0.824,0,0.162,0,Scansorial,Scansorial,Scansorial
Anolis allogus,0.001,0,0.003,0.96,0,0.037,0,Scansorial,Scansorial,Scansorial
Anolis alutaceus,0,0,0,0.954,0.003,0,0.044,Scansorial,Scansorial,Scansorial
Anolis anchicayae,0.001,0,0.003,0.96,0,0.037,0,Scansorial,Scansorial,Scansorial
Anolis angusticeps,0,0,0,0.988,0.001,0,0.012,Scansorial,Scansorial,Scansorial
Anolis annectens,0.001,0,0.007,0.898,0,0.094,0,Scansorial,Scansorial,Scansorial
Anolis anoriensis,0.002,0,0.009,0.861,0,0.128,0,Scansorial,Scansorial,Scansorial
Anolis antonii,0,0,0,0.999,0,0,0,Scansorial,Scansorial,Scansorial
Anolis aquaticus,0.932,0,0,0,0,0,0.068,Aquatic,Aquatic,Aquatic
Anolis argenteolus,0.001,0,0.003,0.951,0,0.045,0,Scansorial,Scansorial,Scansorial
Anolis armouri,0.001,0,0.006,0.912,0,0.081,0,Scansorial,Scansorial,Scansorial
Anolis auratus,0,0,0.001,0.99,0,0.009,0,Scansorial,Scansorial,Scansorial
Anolis bahorucoensis,0,0,0,0.975,0.001,0,0.024,Scansorial,Scansorial,Scansorial
Anolis baracoae,0.005,0,0.022,0.664,0,0.309,0,Scansorial,Scansorial,Scansorial
